"Compte de ch&egrave;ques";"Compte de ch&amp;egrave;ques";****1827;30/09/2022;;632,87
24/08/2022;VIREMENT INSTANTANE RECU;VIR SEPA INST RECU;VIR SEPA INST RECU;150,00
05/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 030922 NOBLADIS CARTE;-21,75
06/09/2022;VIREMENT;VIR SEPA RECU;VIR SEPA RECU;150,00
07/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 060922 PHARMA CARTE;-15,80
09/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 070922 MAC DONALD S CARTE;-14,40
13/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 120922 CARREFOUR CARTE;-106,60
16/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 150922 SUB MONTAUDRAN CARTE;-10,50
16/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 150922 BARBIER  CARTE;-26,00
26/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 240922 CARREFOUR CARTE;-82,56
26/09/2022;VIREMENT;VIR SEPA RECU;VIR SEPA RECU;200,00
28/09/2022;VIREMENT;VIR SEPA RECU;VIR SEPA RECU;500,00
30/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 280922 DR ALLANO CARTE;-23,00
30/09/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 290922 CEDE CARTE;-7,94
03/10/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 300922 CEDE CARTE;-8,49
03/10/2022;PAIEMENT CB;FACTURE CARTE;FACTURE CARTE DU 300922 CARREFOUR CARTE;-50,09
